Date,Title,Genres
"May 17, 2024",Cuckoo (2024),"['Comedy', 'Drama', 'Family', 'Horror', 'Mystery', 'Thriller', 'Horror', 'Drama', 'Drama']"
"May 17, 2024",The Strangers: Chapter 1 (2024),"['Comedy', 'Drama', 'Family', 'Horror', 'Mystery', 'Thriller', 'Horror', 'Drama', 'Drama']"
"May 17, 2024",Radical (2023),"['Comedy', 'Drama', 'Family', 'Horror', 'Mystery', 'Thriller', 'Horror', 'Drama', 'Drama']"
"May 17, 2024",Hoard (2023),"['Comedy', 'Drama', 'Family', 'Horror', 'Mystery', 'Thriller', 'Horror', 'Drama', 'Drama']"
"May 24, 2024",Furiosa: A Mad Max Saga (2024),"['Action', 'Adventure', 'Sci-Fi', 'Animation', 'Adventure', 'Comedy']"
"May 24, 2024",The Garfield Movie (2024),"['Action', 'Adventure', 'Sci-Fi', 'Animation', 'Adventure', 'Comedy']"
"May 31, 2024",The Beast (2023),"['Drama', 'Romance', 'Sci-Fi', 'Biography', 'Drama', 'Romance', 'Drama']"
"May 31, 2024",Young Woman and the Sea (2024),"['Drama', 'Romance', 'Sci-Fi', 'Biography', 'Drama', 'Romance', 'Drama']"
"May 31, 2024",A House in Jerusalem (2023),"['Drama', 'Romance', 'Sci-Fi', 'Biography', 'Drama', 'Romance', 'Drama']"
"Jun 07, 2024",Bad Boys: Ride or Die (2024),"['Action', 'Adventure', 'Comedy', 'Action', 'Crime', 'Fantasy']"
"Jun 07, 2024",The Crow (2024),"['Action', 'Adventure', 'Comedy', 'Action', 'Crime', 'Fantasy']"
"Jun 14, 2024",Inside Out 2 (2024),"['Animation', 'Adventure', 'Comedy', 'Fantasy', 'Horror', 'Mystery']"
"Jun 14, 2024",The Watchers (2024),"['Animation', 'Adventure', 'Comedy', 'Fantasy', 'Horror', 'Mystery']"
"Jun 21, 2024",The Bikeriders (2023),"['Crime', 'Drama', 'Drama', 'Romance']"
"Jun 21, 2024",It Ends with Us (2024),"['Crime', 'Drama', 'Drama', 'Romance']"
"Jun 28, 2024",Kinds of Kindness (2024),"['Comedy', 'Drama', 'Drama', 'Horror', 'Sci-Fi']"
"Jun 28, 2024",A Quiet Place: Day One (2024),"['Comedy', 'Drama', 'Drama', 'Horror', 'Sci-Fi']"
"Jul 05, 2024",Despicable Me 4 (2024),"['Animation', 'Adventure', 'Comedy', 'Thriller']"
"Jul 05, 2024",Something in the Water (2024),"['Animation', 'Adventure', 'Comedy', 'Thriller']"
"Jul 19, 2024",Twisters (2024),"['Action', 'Adventure', 'Thriller']"
"Jul 20, 2024",The Full House (2024),['Action']
"Jul 26, 2024",Deadpool & Wolverine (2024),"['Action', 'Comedy', 'Sci-Fi']"
"Aug 02, 2024",Harold and the Purple Crayon (2024),"['Adventure', 'Comedy', 'Family', 'Comedy', 'Horror', 'Mystery']"
"Aug 02, 2024",Trap (2024),"['Adventure', 'Comedy', 'Family', 'Comedy', 'Horror', 'Mystery']"
"Aug 09, 2024",Borderlands (2024),"['Action', 'Adventure', 'Comedy', 'Horror']"
"Aug 09, 2024",MaXXXine (2024),"['Action', 'Adventure', 'Comedy', 'Horror']"
"Aug 16, 2024",Alien: Romulus (2024),"['Horror', 'Sci-Fi']"
"Aug 23, 2024",Blink Twice (2024),"['Crime', 'Mystery', 'Thriller', 'Drama']"
"Aug 23, 2024",The Forge (2024),"['Crime', 'Mystery', 'Thriller', 'Drama']"
"Aug 30, 2024",Kraven the Hunter (2024),"['Action', 'Adventure', 'Sci-Fi']"
"Sep 06, 2024",Beetlejuice Beetlejuice (2024),"['Comedy', 'Fantasy', 'Horror']"
"Sep 13, 2024",Lee (2023),"['Biography', 'Drama', 'History']"
"Sep 27, 2024",Saw XI (2024),['Horror']
"Oct 04, 2024",Joker: Folie à Deux (2024),"['Crime', 'Drama', 'Musical']"
"Oct 18, 2024",The Wild Robot (2024),"['Animation', 'Adventure', 'Drama', 'Horror', 'Mystery', 'Thriller', 'Action', 'Adventure', 'Drama']"
"Oct 18, 2024",Smile 2 (2024),"['Animation', 'Adventure', 'Drama', 'Horror', 'Mystery', 'Thriller', 'Action', 'Adventure', 'Drama']"
"Oct 18, 2024",The Crypto: Beyond (2024),"['Animation', 'Adventure', 'Drama', 'Horror', 'Mystery', 'Thriller', 'Action', 'Adventure', 'Drama']"
"Oct 25, 2024",Venom: The Last Dance (2024),"['Action', 'Adventure', 'Sci-Fi']"
"Nov 08, 2024",Paddington in Peru (2024),"['Adventure', 'Comedy', 'Family']"
"Nov 15, 2024",Red One (2024),"['Action', 'Adventure', 'Comedy']"
"Nov 22, 2024",Gladiator 2 (2024),"['Action', 'Adventure', 'Drama']"
"Nov 24, 2024",Wicked (2024),"['Fantasy', 'Musical', 'Romance']"
"Dec 13, 2024",The Lord of the Rings: The War of the Rohirrim (2024),"['Animation', 'Action', 'Adventure']"
"Dec 20, 2024",Sonic the Hedgehog 3 (2024),"['Action', 'Adventure', 'Comedy', 'Animation', 'Adventure', 'Drama']"
"Dec 20, 2024",Mufasa: The Lion King (2024),"['Action', 'Adventure', 'Comedy', 'Animation', 'Adventure', 'Drama']"
"Jan 17, 2025",M3GAN 2.0 (2025),"['Horror', 'Sci-Fi', 'Thriller']"
"Feb 14, 2025",Captain America: Brave New World (2025),"['Action', 'Adventure', 'Sci-Fi', 'Animation', 'Adventure', 'Comedy', 'Rihanna']"
"Feb 14, 2025",The Smurfs Musical (2025),"['Action', 'Adventure', 'Sci-Fi', 'Animation', 'Adventure', 'Comedy', 'Rihanna']"
"Feb 21, 2025",The Unbreakable Boy (2025),['Drama']
"Mar 22, 2025",Snow White (2025),"['Adventure', 'Drama', 'Family']"
"Apr 04, 2025",Minecraft (2025),"['Action', 'Adventure', 'Family', 'Action', 'Crime', 'Thriller']"
"Apr 04, 2025",Fast X: Part 2 (2025),"['Action', 'Adventure', 'Family', 'Action', 'Crime', 'Thriller']"
