Date,Title,Genres
05 jul 2024,Something in the Water (2024),"['Animación', 'Aventura', 'Comedia', 'Suspense']"
19 jul 2024,Twisters (2024),"['Acción', 'Aventura', 'Suspense']"
20 jul 2024,The Full House (2024),['Acción']
26 jul 2024,Deadpool y Lobezno (2024),"['Acción', 'Comedia']"
02 ago 2024,Harold y el lápiz mágico (2024),"['Aventura', 'Comedia', 'Familiar', 'Comedia', 'Terror', 'Misterio']"
02 ago 2024,Trap (2024),"['Aventura', 'Comedia', 'Familiar', 'Comedia', 'Terror', 'Misterio']"
09 ago 2024,Borderlands (2024),"['Acción', 'Aventura', 'Comedia', 'Terror']"
09 ago 2024,MaXXXine (2024),"['Acción', 'Aventura', 'Comedia', 'Terror']"
16 ago 2024,Alien: Romulus (2024),['Terror']
23 ago 2024,Blink Twice (2024),"['Crimen', 'Misterio', 'Suspense', 'Drama']"
23 ago 2024,The Forge (2024),"['Crimen', 'Misterio', 'Suspense', 'Drama']"
30 ago 2024,Kraven el cazador (2024),"['Acción', 'Aventura']"
06 sept 2024,Bitelchús Bitelchús (2024),"['Comedia', 'Fantasía', 'Terror']"
13 sept 2024,Lee (2023),"['Biografía', 'Drama', 'Historia']"
27 sept 2024,Saw XI (2024),['Terror']
04 oct 2024,Joker: Folie à Deux (2024),"['Crimen', 'Drama', 'Musical']"
18 oct 2024,Robot salvaje (2024),"['Animación', 'Aventura', 'Drama', 'Terror', 'Misterio', 'Suspense', 'Acción', 'Aventura', 'Drama']"
18 oct 2024,Smile 2 (2024),"['Animación', 'Aventura', 'Drama', 'Terror', 'Misterio', 'Suspense', 'Acción', 'Aventura', 'Drama']"
18 oct 2024,The Crypto: Beyond (2024),"['Animación', 'Aventura', 'Drama', 'Terror', 'Misterio', 'Suspense', 'Acción', 'Aventura', 'Drama']"
25 oct 2024,Venom: The Last Dance (2024),"['Acción', 'Aventura']"
08 nov 2024,Paddington en Perú (2024),"['Aventura', 'Comedia', 'Familiar']"
15 nov 2024,Red One (2024),"['Acción', 'Aventura', 'Comedia']"
22 nov 2024,Gladiator 2 (2024),"['Acción', 'Aventura', 'Drama']"
24 nov 2024,Wicked (2024),"['Fantasía', 'Musical', 'Romance']"
13 dic 2024,The Lord of the Rings: The War of the Rohirrim (2024),"['Animación', 'Acción', 'Aventura']"
20 dic 2024,Sonic 3: La película (2024),"['Acción', 'Aventura', 'Comedia', 'Animación', 'Aventura', 'Drama']"
20 dic 2024,Mufasa: El Rey León (2024),"['Acción', 'Aventura', 'Comedia', 'Animación', 'Aventura', 'Drama']"
17 ene 2025,M3GAN 2.0 (2025),"['Terror', 'Suspense']"
14 feb 2025,Captain America: Brave New World (2025),"['Acción', 'Aventura', 'Animación', 'Aventura', 'Comedia', 'Rihanna']"
14 feb 2025,The Smurfs Musical (2025),"['Acción', 'Aventura', 'Animación', 'Aventura', 'Comedia', 'Rihanna']"
21 feb 2025,The Unbreakable Boy (2025),['Drama']
22 mar 2025,Snow White (2025),"['Aventura', 'Drama', 'Familiar']"
04 abr 2025,Minecraft (2025),"['Acción', 'Aventura', 'Familiar', 'Acción', 'Crimen', 'Suspense']"
04 abr 2025,Fast X: Part 2 (2025),"['Acción', 'Aventura', 'Familiar', 'Acción', 'Crimen', 'Suspense']"
