Movie,Calification,N.Reviews,Year,Duration,Rating
Green Book,8.2,567K,2018,130,13
El padre,8.2,192K,2020,97,7
Vencedores o vencidos,8.3,85K,1961,179,18
Eva al desnudo,8.2,138K,1950,138,13
El show de Truman,8.2,1.2M,1998,103,A
Top Gun: Maverick,8.2,690K,2022,130,13
Shutter Island,8.2,1.4M,2010,138,13
Pozos de ambición,8.2,639K,2007,158,13
Casino,8.2,562K,1995,178,18
Ran,8.2,136K,1985,160,13
Jurassic Park (Parque Jurásico),8.2,1.1M,1993,127,13
El sexto sentido,8.2,1M,1999,107,13
El laberinto del fauno,8.2,702K,2006,118,18
Sin perdón,8.2,435K,1992,130,18
No es país para viejos,8.2,1.1M,2007,122,18
Una mente maravillosa,8.2,984K,2001,135,A
La cosa (El enigma de otro mundo),8.2,465K,1982,109,13
El tesoro de Sierra Madre,8.2,132K,1948,126,18
Kill Bill: Volumen 1,8.2,1.2M,2003,111,18
Yojimbo,8.2,131K,1961,110,13
Los caballeros de la mesa cuadrada y sus locos seguidores,8.2,569K,1975,91,A
La gran evasión,8.2,258K,1963,172,18
Buscando a Nemo,8.2,1.1M,2003,100,A
Rashomon,8.2,180K,1950,88,13
Prisioneros,8.2,806K,2013,153,16
El castillo ambulante,8.2,447K,2004,119,7
El hombre elefante,8.2,258K,1980,124,16
Chinatown,8.1,349K,1974,130,A
Crimen perfecto,8.2,188K,1954,105,A
Lo que el viento se llevó,8.2,333K,1939,238,A
V de vendetta,8.2,1.2M,2005,132,13
Lock & Stock,8.1,615K,1998,107,18
El secreto de sus ojos,8.2,222K,2009,129,7
Del revés (Inside Out),8.1,782K,2015,95,A
Toro salvaje,8.1,379K,1980,129,13
Tres anuncios en las afueras,8.1,553K,2017,115,16
Trainspotting,8.1,724K,1996,93,18
El puente sobre el río Kwai,8.1,233K,1957,161,A
Spider-Man: No Way Home,8.2,874K,2021,148,7
Fargo,8.1,725K,1996,98,18
Klaus,8.2,189K,2019,96,A
Warrior,8.1,497K,2011,140,13
Atrápame si puedes,8.1,1.1M,2002,141,7
Godzilla Minus One,8.3,47K,2023,124,13
Gran Torino,8.1,813K,2008,116,13
Mi vecino Totoro,8.1,378K,1988,86,A
Million Dollar Baby,8.1,720K,2004,132,13
Harry Potter y las Reliquias de la Muerte: Parte 2,8.1,945K,2011,130,7
Children of Heaven,8.2,80K,1997,89,13
12 años de esclavitud,8.1,740K,2013,134,16
Blade Runner,8.1,821K,1982,117,13
Antes de amanecer,8.1,338K,1995,101,13
