Date,Title,Genres
09 ago 2024,El conde de Montecristo (2024),"['Acción', 'Aventura', 'Comedia', 'Comedia', 'Drama', 'Acción', 'Aventura', 'Drama']"
09 ago 2024,Cuerpo escombro (2024),"['Acción', 'Aventura', 'Comedia', 'Comedia', 'Drama', 'Acción', 'Aventura', 'Drama']"
16 ago 2024,Alien: Romulus (2024),"['Terror', 'Aventura', 'Comedia', 'Familiar']"
16 ago 2024,Harold y el lápiz mágico (2024),"['Terror', 'Aventura', 'Comedia', 'Familiar']"
23 ago 2024,Winnie-the-Pooh: Blood and Honey 2 (2024),"['Terror', 'Suspense']"
23 ago 2024,Odio el verano (2024),"['Terror', 'Suspense']"
30 ago 2024,Kraven el cazador (2024),"['Acción', 'Aventura', 'Drama', 'Animación', 'Aventura', 'Comedia', 'Terror']"
30 ago 2024,Silver Haze (2023),"['Acción', 'Aventura', 'Drama', 'Animación', 'Aventura', 'Comedia', 'Terror']"
30 ago 2024,Buffalo Kids (2024),"['Acción', 'Aventura', 'Drama', 'Animación', 'Aventura', 'Comedia', 'Terror']"
30 ago 2024,El llanto (2024),"['Acción', 'Aventura', 'Drama', 'Animación', 'Aventura', 'Comedia', 'Terror']"
01 sept 2024,Historias (2024),['Unknown']
06 sept 2024,Bitelchús Bitelchús (2024),"['Comedia', 'Fantasía', 'Terror', 'Drama', 'Fantasía']"
06 sept 2024,Nueva Tierra (2024),"['Comedia', 'Fantasía', 'Terror', 'Drama', 'Fantasía']"
13 sept 2024,Hotel Bitcoin (2024),"['Comedia', 'Suspense']"
13 sept 2024,Justicia artificial (2024),"['Comedia', 'Suspense']"
20 sept 2024,Wolfs (2024),['Suspense']
27 sept 2024,Soy Nevenka (2024),"['Drama', 'Biografía']"
27 sept 2024,El 47 (2024),"['Drama', 'Biografía']"
04 oct 2024,Joker: Folie à Deux (2024),"['Crimen', 'Drama', 'Musical']"
11 oct 2024,La infiltrada (2024),['Suspense']
25 oct 2024,Yo no soy ésa (2024),"['Comedia', 'Romance']"
25 oct 2024,Marco (2024),"['Comedia', 'Romance']"
31 oct 2024,Escape (2024),['Unknown']
01 nov 2024,Conclave (2024),['Suspense']
22 nov 2024,Gladiator 2 (2024),"['Acción', 'Aventura', 'Drama']"
29 nov 2024,Pídeme lo que quieras (2024),['Unknown']
05 dic 2024,Al otro barrio (2024),['Unknown']
13 dic 2024,The Lord of the Rings: The War of the Rohirrim (2024),"['Animación', 'Acción', 'Aventura']"
15 dic 2024,Vaiana 2 (2024),"['Animación', 'Aventura', 'Comedia']"
20 dic 2024,Sonic 3: La película (2024),"['Acción', 'Aventura', 'Comedia']"
25 dic 2024,Nosferatu (2024),"['Fantasía', 'Terror', 'Misterio', 'Fantasía', 'Musical', 'Romance']"
25 dic 2024,Wicked (2024),"['Fantasía', 'Terror', 'Misterio', 'Fantasía', 'Musical', 'Romance']"
03 ene 2025,Paddington en Perú (2024),"['Aventura', 'Comedia', 'Familiar']"
17 ene 2025,M3GAN 2.0 (2025),"['Terror', 'Suspense']"
31 ene 2025,Mickey 17 (2025),"['Aventura', 'Drama']"
14 feb 2025,Captain America: Brave New World (2025),"['Acción', 'Aventura', 'Romance']"
14 feb 2025,Sigue mi voz (2025),"['Acción', 'Aventura', 'Romance']"
22 mar 2025,Snow White (2025),"['Aventura', 'Drama', 'Familiar']"
04 abr 2025,Thomas & Friends (2025),"['Aventura', 'Familiar']"
