Movie,Calification,N.Reviews,Year,Duration,Rating
Heat,8.3,717K,1995,2h 50m,R
Up,8.3,1.1M,2009,1h 36m,PG
To Kill a Mockingbird,8.3,332K,1962,2h 9m,Approved
The Sting,8.3,279K,1973,2h 9m,PG
A Separation,8.3,258K,2011,2h 3m,PG-13
Indiana Jones and the Last Crusade,8.2,809K,1989,2h 7m,PG-13
Die Hard,8.2,943K,1988,2h 12m,R
Metropolis,8.3,185K,1927,2h 33m,Not Rated
Like Stars on Earth,8.3,206K,2007,2h 42m,PG
Hamilton,8.3,113K,2020,2h 40m,PG-13
Snatch,8.2,908K,2000,1h 42m,R
L.A. Confidential,8.2,616K,1997,2h 18m,R
Bicycle Thieves,8.3,175K,1948,1h 29m,Not Rated
1917,8.2,672K,2019,1h 59m,R
Taxi Driver,8.2,917K,1976,1h 54m,R
Downfall,8.2,374K,2004,2h 36m,R
Dangal,8.3,210K,2016,2h 41m,Not Rated
For a Few Dollars More,8.2,274K,1965,2h 12m,R
Batman Begins,8.2,1.6M,2005,2h 20m,PG-13
The Wolf of Wall Street,8.2,1.6M,2013,3,hR
Some Like It Hot,8.2,283K,1959,2h 1m,Passed
Green Book,8.2,567K,2018,2h 10m,PG-13
The Kid,8.2,134K,1921,1h 8m,Passed
The Father,8.2,192K,2020,1h 37m,PG-13
Judgment at Nuremberg,8.3,85K,1961,2h 59m,Approved
All About Eve,8.2,138K,1950,2h 18m,Passed
The Truman Show,8.2,1.2M,1998,1h 43m,PG
Top Gun: Maverick,8.2,690K,2022,2h 10m,PG-13
Shutter Island,8.2,1.5M,2010,2h 18m,R
There Will Be Blood,8.2,639K,2007,2h 38m,R
Casino,8.2,562K,1995,2h 58m,R
Ran,8.2,136K,1985,2h 40m,R
Jurassic Park,8.2,1.1M,1993,2h 7m,PG-13
The Sixth Sense,8.2,1M,1999,1h 47m,PG-13
Pan's Labyrinth,8.2,702K,2006,1h 58m,R
Unforgiven,8.2,435K,1992,2h 10m,R
No Country for Old Men,8.2,1.1M,2007,2h 2m,R
A Beautiful Mind,8.2,984K,2001,2h 15m,PG-13
The Thing,8.2,465K,1982,1h 49m,R
The Treasure of the Sierra Madre,8.2,132K,1948,2h 6m,Passed
Kill Bill: Vol. 1,8.2,1.2M,2003,1h 51m,R
Yojimbo,8.2,131K,1961,1h 50m,Not Rated
